Tool	Tissue	Sex	circRNA_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CIRI2	Ileon	Male	JH584304.1:25369-59773	62.97972179121391	1.0603021751839865	0.2922139425021631	3.6285132944200216	2.8505807323871526e-4	0.02879086539711024
CIRI2	Ileon	Male	chr10:108104433-108110049	11.210184156770456	-0.007708421837339075	0.44558999777436964	-0.017299360119933247	0.9861977960779764	0.9935758344526248
CIRI2	Ileon	Male	chr10:116353222-116385080	4.313817438910517	0.07280933078266746	0.9307543966707698	0.07822614756707066	0.9376481629932407	NA
CIRI2	Ileon	Male	chr10:117191840-117203893	5.098580614380201	0.1654744849645852	0.9699875101144689	0.1705944491440487	0.8645426628851093	0.9588325219699959
CIRI2	Ileon	Male	chr10:121761721-121767414	6.744023253577284	-0.3227882597102455	0.534502223155696	-0.6039044286934987	0.5459071842375008	0.8638702536426466
CIRI2	Ileon	Male	chr10:12312025-12331308	15.095017323506426	-1.1615079400658568	0.4348601241331863	-2.670992062979123	0.007562743503355788	0.1608078092292494
CIRI2	Ileon	Male	chr10:25096509-25165628	14.343175534141286	0.5133919829205021	0.4308904590099752	1.1914675114879185	0.23347010341779015	0.7211855313196472
CIRI2	Ileon	Male	chr10:25143206-25165628	15.59346526240941	0.41086934370408584	0.4351497638996764	0.9442021524313905	0.3450663555199007	0.8012206290887829
CIRI2	Ileon	Male	chr10:50624902-50643603	6.478713120829542	0.3391520526165882	0.8144583650806508	0.41641422957575497	0.677106917755925	0.8962701558344117
CIRI2	Ileon	Male	chr10:52305289-52312759	5.453822058617491	-0.9421263334883978	0.8809022351196785	-1.0695015813649305	0.2848437166680495	0.7414662972063947
CIRI2	Ileon	Male	chr10:75109851-75115795	7.765568363747803	-0.3294724761467486	0.5457230069408823	-0.603735726653064	0.5460193573570337	0.8638702536426466
CIRI2	Ileon	Male	chr10:75520126-75535929	4.6865661880759975	-0.6933859879895644	0.8913033370403243	-0.7779461370491809	0.4366007675880164	NA
CIRI2	Ileon	Male	chr10:89309614-89319386	46.571255962917036	-0.4820455448580378	0.29793144555098106	-1.6179747121575716	0.10566804753055321	0.6012660732724436
CIRI2	Ileon	Male	chr11:100261606-100261970	4.683497853758894	0.6240498338008891	0.8359791812155567	0.7464896827855073	0.45537166170664034	NA
CIRI2	Ileon	Male	chr11:102937205-102946115	6.966437928858317	-0.2748881242270849	0.6390487121524882	-0.43015206665730954	0.6670850273849718	0.8923918909388364
CIRI2	Ileon	Male	chr11:104314748-104316119	4.933221795087954	0.9327744611421624	0.9455491224889792	0.9864896904423222	0.3238928718447608	0.7978759699760267
CIRI2	Ileon	Male	chr11:108813978-108822405	8.66160034021868	0.7935455259925899	0.6296494709577529	1.2602972965029835	0.2075621348966398	0.7046647268759872
CIRI2	Ileon	Male	chr11:116124212-116125349	18.083124266307095	-0.4981096458187655	0.5548272729984445	-0.8977742624778324	0.36930590870177143	0.8042680020415223
CIRI2	Ileon	Male	chr11:12315105-12328359	7.861930596197304	2.1814744740134207	0.7062751296396833	3.0887035129303393	0.0020103195222658083	0.08755137666786518
CIRI2	Ileon	Male	chr11:19948120-19958477	9.95111185544073	-0.03653621608649683	0.424919564334094	-0.08598384059758223	0.9314792629823836	0.9723969567051239
CIRI2	Ileon	Male	chr11:20675685-20677639	12.262221102699204	0.40937393105613984	0.41667557170170083	0.9824764369657162	0.3258651857575357	0.7978759699760267
CIRI2	Ileon	Male	chr11:22003432-22018506	6.464553424634045	0.29045967418604557	0.7200370246161703	0.4033954703105451	0.6866573185028566	0.8962701558344117
CIRI2	Ileon	Male	chr11:26347746-26384500	3.7521140865942755	-1.655277131353854	1.0785559138143606	-1.534716105259572	0.12485357804853502	NA
CIRI2	Ileon	Male	chr11:26484211-26500075	4.005430620016246	-0.4177099323146338	0.7899937318424642	-0.5287509450744997	0.5969782313276801	NA
CIRI2	Ileon	Male	chr11:31005458-31011586	5.910374167823894	0.1849058960592053	0.5763700315447341	0.3208110865230752	0.7483535573025161	0.9366645946927886
CIRI2	Ileon	Male	chr11:43595361-43596304	17.017044392549753	0.04572469686051127	0.3802706803983391	0.12024249887636348	0.9042910527430815	0.9708971912416614
CIRI2	Ileon	Male	chr11:4467741-4481305	6.528316296117387	0.5619770847678742	0.6844658254941244	0.8210447678117107	0.41162076870742514	0.8273372664567152
CIRI2	Ileon	Male	chr11:45774537-45785956	6.331730645349538	-0.10151129016360325	0.6713196471476985	-0.15121155859940075	0.8798088326936837	0.9604507933696435
CIRI2	Ileon	Male	chr11:50189956-50191881	4.641887376045323	-0.6948814150311815	0.8359196004978822	-0.8312778102311551	0.40581670702836836	NA
