pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOBP_ACYL_COA_METABOLIC_PROCESS	2.802704041720729e-6	3.186490386573377e-4	0.6272567397185284	-0.5084719118887464	-2.0772250514286497	78	Acot3, Abcd1, Acsm3, Pdha1, Acot4, Suclg2, Gpat4, Snca, Pdk2, Vdac1, Mpc1, Hmgcl, Dlat, Suclg1, Pdk1, Hmgcs2, Baat, Acsm1, Ppcs, Acot11, Nudt19, Fasn, Pdhx, Cs, Mvk, Acaa2, Sucla2, Pdk3, Gcdh, Mvd, Hsd17b4, Dld, Far1, Nudt7
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1.8323753996120104e-4	0.007828437550631553	0.5188480777437918	0.4496060890311346	1.8638010958677538	112	Mtnr1a, App, Grk5, S1pr5, Gna14, Akap13, Calcrl, Grm8, Pth1r, Adgrl4, Adgrf5, Prkar1a, Cnr2, Vipr1, Ednra, Crtc3, Pde10a, Adcyap1r1, Adra2b, Adgrf1, Sstr2, Adgrd1, S1pr3, Adgrl1, Gnat2, Adora2a, Tbxa2r, Adrb3, Rapgef4
GOBP_AEROBIC_ELECTRON_TRANSPORT_CHAIN	1.1912235962820401e-9	3.5200657270134285e-7	0.7881868108002371	-0.6546189907444753	-2.490387421460391	59	mt-Nd3, Coq9, Cox7b, Sdhd, Ndufv2, Cox7a2l, Uqcrq, Ndufs7, Iscu, mt-Co3, Ndufs2, Cox7a2, Afg1l, Ndufa10, Uqcr10, Ndufb8, Uqcr11, Ndufs6, mt-Co1, Sdha, Ndufa8, mt-Nd1, Cox5b, Ndufs3, Sdhaf2, Uqcrh, Cox8a, Dld, Cox5a, Cox7a1, Dnajc15, Cycs, Uqcrc1, mt-Cytb, Park7, Ndufs1, Ndufb9, Sdhb, Ndufc2, Ndufa7, Uqcrc2, Uqcrfs1, Cox4i1, Uqcrb, Cyc1, mt-Nd6, Cox7c, Ndufs8, Pink1, Ndufaf1
GOBP_AEROBIC_RESPIRATION	1.9236656095699654e-11	1.1368863752558496e-8	0.8634153916066928	-0.49353967931590603	-2.2583251647173634	167	Abcd1, Pdha1, Bnip3, mt-Nd3, Suclg2, Mfn2, Snca, Aco2, Dnajc30, Coq9, Cox7b, Fh1, Dlat, Sdhd, Ndufv2, Cox7a2l, Suclg1, Shmt2, Mdh2, Uqcrq, Dlst, Ndufs7, Coa6, Iscu, Ak4, mt-Co3, Ndufs2, Slc25a23, Ndufa2, Mtfr1l, Cox7a2, Afg1l, Ndufa10, Uqcr10, Idh3g, Atp5pb, Ndufb8, Bloc1s1, Cs, Ndufa12, Uqcr11, Mrps36, Ndufs6, mt-Co1, Ndufs5, Sdha, Mtfr1, Ndufc1, Chchd10, Sucla2, mt-Co2, Ndufa8, Ndufb5, mt-Nd1, Idh3a, Atpsckmt, Cox5b, Ndufb10, Ndufs3, Sdhaf2, Uqcrh, Cox8a, Dld, Cox5a, Cox7a1, Dhtkd1, Dnajc15, Ndufa11, Cycs, Uqcrc1, mt-Cytb, Park7, Cox10, Ndufs1, Ndufb1, Ndufb11, Chchd2, Ndufb9, Sdhb, Ndufc2, Pank2, Pdhb, Ndufa7, Uqcrc2, Uqcrfs1, Ndufa5, Gadd45gip1, Cox4i1, 1700066M21Rik, Vcp, Stoml2, Fxn, Ndufa9, Uqcrb, Cyc1, Idh1, mt-Nd6, Cox7c, Ndufs8, Ndufb2, Tefm, Ppif, Ndufa13, Ndufv3, Mlxipl, Pink1, Ndufaf1
GOBP_ALDITOL_METABOLIC_PROCESS	2.459943567417119e-6	2.907653296687035e-4	0.6272567397185284	-0.7616043667983241	-2.266450255448764	19	Galk1, Mogat1, Pck2, Got1, Shpk, Pck1, Sord, Tpi1, Tkfc, Myof, Gk, Coq2, Fkrp, Dysf
GOBP_AMINO_SUGAR_BIOSYNTHETIC_PROCESS	9.21823418111015e-5	0.004867034636721695	0.5384340963099162	-0.8398050007324197	-2.0254260507261166	9	Gnpnat1, Pgm3, Uap1l1, Gne, Gnpda1
GOBP_ANIMAL_ORGAN_MORPHOGENESIS	6.0445140506685856e-9	1.4289231215780537e-6	0.7614608014455848	0.3433063425771006	1.7190958460240993	695	Ntrk2, Strc, Hacd1, Pkd2, Col5a2, Bak1, Lama3, Ntn1, Wnt5a, Inhba, Fem1b, Kdm5b, Id1, Notch1, Msx1, Irx1, Prrx1, Ttc39c, Emp2, Wnk4, Gcnt4, Ctnnb1, Fgfr4, Lamc1, Stim1, Ndst1, Id4, Igf1r, Lama1, Prkar1a, Sox9, Fat1, Ccm2l, Lrp6, Pdgfrb, Phospho1, Aqp1, Myc, Lama5, Polb, Slc4a7, Ednra, C2cd3, Cyp7b1, Mrtfb, Tcf21, Hes1, Ctnnbip1, Zmpste24, Atg9a, Kdr, Arid2, Eng, Palb2, Nsd2, Bmp6, Ncoa3, Tbx6, Dlc1, Serpinh1, Nectin1, Hgf, Tgfbr2, Lrp5, Igf1, Ccn1, Cela1, Ift80, Ngfr, Tmtc3, Erbb4, Tuba1a, Ctnnd1, Scrib, Fras1, Ahdc1, Tgfbr3, Rest, Heyl, Hhip, Bmp2, Naglu, Abcc9, Hs2st1, Atf2, Tbx20, Hdac1, Kat6a, Smo, Sh3pxd2b, 2610005L07Rik, Nr3c1, Sox5, Tmem107, Pkp2, Ppp1r13l, Itga8, Npnt, Ap3b1, Parva, Thra, Nrg1, Gnat2, Lama2, Cdh1, Wdr19, Shroom2, Foxf1, Zhx2, Enpp1, Lrp2, Cdh2, Dvl3, Bmp5, Pdgfra, Fmn1, Bmp4, Ryk, Slc40a1, Pdgfc, Slc4a2, Tdrd7, Tsku, Nipbl, Lamb1, Adamts1, Col3a1, Aldh1a1, Dlg5, Dll4, Smad3, Med12, Inppl1, Apc, Alms1, Tek, Npr2, Foxn3, Fzd5, Itpr1, Tnfrsf11b, Alpl, Abi2, Chsy1, Tcf7, Hs3st3b1, Plxna1, Fgfr2, Tshz1, Mef2c, Shank3, Pds5a, Bmp10, Itga6, Pml, Epor, Ephb4, Timeless, Satb2, Mib1, Bax, Epha2, Celsr1, Eln, Wnt4, Slc12a2, Vps33b, Gata4, Dhrs3, Acvr2b, Prickle1, Stat5a, Intu, Col1a2, Nfix, Igfbp5, Hdac2, Fli1, Numb, Pbrm1, Adamts9, Ctns, Pbx3, Bbs4, Trpv4, Tgfa, Hhex, Ly6e, Ntn3, Tab1, Ift140, Kdm2a, Wwox, Ncor2, Nf1, Adamts5, Exoc4, Fat4, Nab2, Mapk1, Snai2, Wnt5b, Dchs1, Kcnj8, Cflar, Efemp2, Wnt9b, Ift88, Akt3, Hnf1b, Cdc42, Col1a1, Col5a1, Dsp, Srsf6, Psen2, Col6a1, Btrc, Sulf1, Cyp26b1, Axin1, Cnnm4, Spry2, Wt1, Efnb2, Olfm3, Rarb, Slc8a1, Nfkb1, Thrb, Gpc3, Meis1, Col11a2, Hipk1, Frs2, Sp3, Ppargc1b, Pkhd1, Schip1, Rac1, Arid1a, Plau, Mki67, Cd34, Ash1l, Vangl2, Snai1, Ppara, Mylk, Tbx2, Mmp2, Slc39a3, Spry1, Zfand5, Cbs, Acvr2a, Pten, Lrig1, Smad4, Dag1, Sp1, Nrp1, Sirt6, Arl6, Tnc, Nek8, Mdm4, Nectin3, Casp6, Ar, Egfr, Rarg, Pax5, Mst1, Thbs1, P2rx7, Zfpm2, Nbl1, Lamc3, Wls, Gja1, Asxl2, Bmp7, Id3, Ripor2, Insr, Ilk
GOBP_AXON_DEVELOPMENT	8.535473488573864e-7	1.1209921848327009e-4	0.6594443980379349	0.3813660416342923	1.8106148503117216	351	Ntrk2, App, Mapt, Lama3, Brsk2, Ntn1, Als2, Wnt5a, Plxna2, Notch1, Prkca, Map3k13, Lamc1, Igf1r, Itgb1, Lrtm1, Efna5, Lama1, Zeb2, Ablim1, Alcam, Lama5, Nrep, Ednra, Creb1, Sipa1l1, Stk24, Lmtk2, Cxcl12, Plxnc1, Nectin1, Plxna4, Ngfr, Shtn1, Foxp1, Myh10, Tnfrsf12a, Adam17, Sema3d, Sema4c, Cnp, Twf2, Trim32, Metrn, Smo, Camsap2, Nrg1, Stmn1, Lama2, Cdh1, Nrn1, Cyfip1, Tiam1, Epha7, Map2, Enpp1, Lrp2, Cdh2, Stxbp5, Ryk, Plxnb1, Ptprs, Pip5k1c, Tsku, Trak2, Lamb1, Diaph2, Lrig2, Apc, Npr2, Kif5b, Plxna1, Fgfr2, Cdkl5, Mef2c, Agrn, B3gnt2, Casp3, Adnp, Lrrc4c, Arhgap32, Reln, Lhx2, Cdk5r1, Dbn1, Prickle1, Ndn, Nfix, Numbl, Usp9x, Diaph1, Arhgef25, Rab21, Numb, Pum2, Sema3f, Matn2, Ntn3, Klf7, Wdr47, Ptk2
GOBP_CARBOHYDRATE_METABOLIC_PROCESS	5.125655980902736e-8	1.0288061948083643e-5	0.7195128263389107	-0.34084452593562375	-1.739761617591379	440	Galk1, Ugt1a1, Slc37a4, Mogat1, Pgm3, Klb, Pdha1, Slc25a10, Car5a, Stbd1, Gpd1, Nln, Sds, Slc23a2, Epm2a, Pck2, Got1, Pcx, Pgm1, Aldob, Shpk, Comt, Slc35b4, Lepr, Errfi1, Snca, Sirt7, Cpt1a, Pck1, Aldoc, Gpt2, Pdk2, Gcgr, Pmm2, Gpi1, Gnpda1, Gbe1, Fuca2, B4galt1, Fabp5, Stat3, Fgl1, Ero1a, Mpdu1, Slc39a14, Khk, Sord, Tpi1, Dlat, Gusb, Pik3r1, Oas1a, G6pc3, G6pdx, Neu1, Gys2, Myorg, Gpd2, Ldha, Ppp1ca, Pdk1, Per2, Mdh2, Idua, Igfbp4, Atg3, Hexa, Pfkfb1, Tkfc, Hyal1, Gale, Gckr, Rpia, Ier3, Ppp2ca, Prkag2, Dcxr, Fbp1, Mlx, Rgn, B4galt7, Ctbs, Eno1, Pgls, Mlec, Slc25a11, B4galt5, Idnk, Rbks, Plek, Rubcnl, Sorbs1, Tcf7l2, Fuom, Sik2, Gbgt1, Wdr45b, Myof, Foxk2, Pklr, Bpgm, Ddb1, Ucp2, Pgd, Cs, Ppargc1a, Oma1, Ppp1r3e, Tgfb1, Gpt, Gnptab
GOBP_CARDIAC_MUSCLE_CELL_PROLIFERATION	2.4331196563727797e-4	0.009804366251702133	0.5188480777437918	0.5619216240473042	1.9907565513965986	47	Notch1, Ctnnb1, Prkar1a, Arid2, Cxadr, Tgfbr2, Erbb4, Foxp1, Myh10, Tgfbr3, Tbx20, Dipk2a, Nrg1, Apc, Fgfr2, Mef2c, Bmp10, Gata4, Hdac2, Cdk1, Ccnd2
